category	polymer	force-menton_set	force-tyroneP_set	force-tyrone_set3	distance-menton_set	distance-tyroneP_set	distance-tyrone_set3	mean	std
peak1	polyala-gly	2792.5009999999997	2760.8190000000004	2756.12	2.1	1.9	2.7	2769.813333333333	16.156893561435325
peak1	polyala_constrained	3089.583	3121.562	2944.336	2.3	1.8	2.0	3051.8269999999998	77.12068646392277
peak1	polyalanine_default	3083.711	2947.739	3178.135	2.1	2.3	2.0	3069.861666666666	94.56719737602235
peak1	polyasparagine	1779.264	1915.941	1724.09	3.1	3.2	2.7	1806.4316666666666	80.6443349295053
peak1	polygly_constrained	2136.795	2369.129	2149.0370000000003	2.0	2.2	1.9	2218.3203333333336	106.75488153501706
peak1	polyglycine	2511.544	2275.439	2013.902	2.4	2.0	1.8	2266.9616666666666	203.2499100882676
peak1	polyisoleucine	1354.23	1297.414	1429.894	4.0	3.7	5.2	1360.5126666666667	54.266880785818365
peak1	polythreonine	1869.7820000000002	1550.195	1734.3670000000002	1.9	2.0	1.9	1718.1146666666666	130.97599371979933
peak1	polyvaline	1554.485	1244.6989999999998	1424.9479999999999	3.8	3.2	3.3	1408.0439999999999	127.0331987080543
peak1	polyisoleucine_turing	996.347	3.4	996.347	0.0
peak1	polyisoleucine_78	1353.737	3.2	1353.737	0.0
peak1	polyisoleucine_server191	1479.961	3.2	1479.961	0.0
down1	polyala-gly	82.485	104.686	123.82	6.8	6.5	7.1	103.66366666666666	16.89041997372738
down1	polyala_constrained	380.839	219.52700000000002	111.449	7.0	6.7	6.7	237.27166666666665	110.69145682581932
down1	polyalanine_default	126.056	99.17299999999999	193.894	7.1	7.0	7.0	139.70766666666665	39.85635007819401
down1	polyasparagine	494.036	651.001	-20.23	8.1	7.6	6.9	374.9356666666667	286.67802019028636
down1	polygly_constrained	1054.343	1325.771	1067.484	4.1	4.0	4.2	1149.1993333333332	124.97022731390419
down1	polyglycine	1404.513	982.727	906.552	4.4	4.5	3.9	1097.9306666666666	219.00563613802777
down1	polyisoleucine	500.306	174.551	474.79400000000004	8.4	7.6	9.2	383.21700000000004	147.91628308607542
down1	polythreonine	29.733	-26.349	261.828	6.7	6.1	6.1	88.404	124.74830797249315
down1	polyvaline	74.04899999999999	283.682	268.665	7.2	6.9	7.3	208.79866666666666	95.47942910153766
down1	polyisoleucine_turing	255.83700000000002	7.9	255.83700000000002	0.0
down1	polyisoleucine_78	235.30599999999998	7.3	235.30599999999998	0.0
down1	polyisoleucine_server191	57.501000000000005	6.5	57.501000000000005	0.0
peak2	polyala-gly	1821.985	1787.386	1507.547	9.3	9.1	9.0	1705.6393333333333	140.7828164096109
peak2	polyala_constrained	2069.5660000000003	2165.61	1972.3129999999999	9.4	9.1	9.2	2069.163	78.91368431816298
peak2	polyalanine_default	1844.457	1995.01	2228.765	9.2	9.5	9.5	2022.744	158.11396898650872
peak2	polyasparagine	1182.761	1143.546	1403.945	9.7	9.5	9.2	1243.417333333333	114.6336276442863
peak2	polygly_constrained	1786.9720000000002	1973.5710000000001	2013.3339999999998	5.8	5.9	5.6	1924.6256666666668	98.6802006562387
peak2	polyglycine	2012.339	714.074	1575.41	5.9	5.0	5.3	1433.941	539.3719255003916
peak2	polyisoleucine	869.342	792.0369999999999	1019.2389999999999	9.7	10.1	12.8	893.5393333333333	94.31974132821941
peak2	polythreonine	599.131	1291.367	815.301	9.4	8.7	9.4	901.933	289.1671921132594
peak2	polyvaline	839.887	770.9960000000001	554.703	9.5	8.7	8.7	721.8620000000001	121.49922065868023
peak2	polyisoleucine_turing	929.3660000000001	10.0	929.3660000000001	0.0
peak2	polyisoleucine_78	549.679	8.3	549.679	0.0
peak2	polyisoleucine_server191	873.943	8.9	873.943	0.0
down2	polyala-gly	46.442	104.215	27.968000000000004	12.7	12.1	12.3	59.541666666666664	32.47668088884016
down2	polyala_constrained	99.20700000000001	93.36399999999999	79.413	13.1	12.8	12.8	90.66133333333333	8.303770803409474
down2	polyalanine_default	101.8	943.414	70.679	13.9	11.9	13.4	371.96433333333334	404.2756240572623
down2	polyasparagine	350.352	559.859	295.298	12.0	11.7	12.0	401.83633333333336	113.97692197497216
down2	polygly_constrained	782.45	1116.214	170.10299999999998	8.0	7.5	8.8	689.5889999999999	391.7898076528621
down2	polyglycine	1102.08	241.459	271.443	7.8	6.5	9.9	538.3273333333333	398.8212314177312
down2	polyisoleucine	422.22	69.681	742.066	11.3	12.6	14.0	411.32233333333335	274.60816497976816
down2	polythreonine	43.406000000000006	23.441	587.639	14.6	13.3	8.5	218.162	261.3868020807477
down2	polyvaline	-12.754000000000001	-10.782	273.752	12.8	13.9	10.2	83.40533333333333	134.59782645430136
down2	polyisoleucine_turing	206.4	14.0	206.4	0.0
down2	polyisoleucine_78	132.941	13.0	132.941	0.0
down2	polyisoleucine_server191	92.369	13.6	92.369	0.0
