poltype	hbtype	occurence
3VAL	B_7_OT1__C_2_N	0.28
3VAL	B_7_N__C_2_O	0.9
3VAL	B_5_N__C_4_O	0.86
3VAL	B_7_OT2__C_2_N	0.62
3VAL	B_5_O__C_4_N	0.71
3VAL	B_3_O__C_6_N	0.22
3VAL	B_3_N__C_6_O	0.09
3VAL	B_2_N__C_7_OT2	0.0
2THR	B_3_O__C_6_N	0.71
2THR	B_3_N__C_6_O	0.48
2THR	B_5_O__C_4_N	0.85
2THR	B_7_N__C_2_O	0.77
2THR	B_5_N__C_4_O	0.63
2THR	B_7_OT1__C_2_N	0.72
2THR	B_2_N__C_7_OT2	0.0
2THR	B_7_OT2__C_2_N	0.0
1ALAGLY	B_5_O__C_4_N	0.68
1ALAGLY	B_7_N__C_2_O	0.89
1ALAGLY	B_7_OT1__C_2_N	0.41
1ALAGLY	B_3_O__C_6_N	0.6
1ALAGLY	B_5_N__C_4_O	0.67
1ALAGLY	B_3_N__C_6_O	0.26
1ALAGLY	B_7_OT2__C_2_N	0.22
1ALA	B_7_OT1__C_2_N	0.47
1ALA	B_5_N__C_4_O	0.75
1ALA	B_3_N__C_6_O	0.53
1ALA	B_7_OT2__C_2_N	0.38
1ALA	B_5_O__C_4_N	0.82
1ALA	B_3_O__C_6_N	0.73
1ALA	B_7_N__C_2_O	0.82
1ALA	B_2_N__C_7_OT1	0.0
1GLY	B_7_OT2__C_2_N	0.37
1GLY	B_5_O__C_4_N	0.48
1GLY	B_3_O__C_6_N	0.48
1GLY	B_5_N__C_4_O	0.48
1GLY	B_7_OT1__C_2_N	0.41
1GLY	B_3_N__C_6_O	0.18
1GLY	B_7_N__C_2_O	0.01
2ASN	B_7_OT1__C_2_N	0.34
2ASN	B_7_OT2__C_2_N	0.61
2ASN	B_5_O__C_4_N	0.56
2ASN	B_3_O__C_6_N	0.49
2ASN	B_7_N__C_2_O	0.81
2ASN	B_5_N__C_4_O	0.76
2ASN	B_3_N__C_6_O	0.55
2ASN	B_2_N__C_7_OT2	0.0
2ASN	B_2_N__C_7_OT1	0.0
2ASN	B_7_N__C_2_N	0.0
3ILE	B_7_OT1__C_2_N	0.43
3ILE	B_7_N__C_2_O	0.89
3ILE	B_5_N__C_4_O	0.68
3ILE	B_3_O__C_6_N	0.58
3ILE	B_3_N__C_6_O	0.48
3ILE	B_5_O__C_4_N	0.72
3ILE	B_7_OT2__C_2_N	0.48
